name	mean_price_str	address	lat	lon	mean_price_num	type
ФИОРД, кафе	Средний чек 400 р	Санкт-Петербург, Яхтенная, 1 к1	59.9842256	30.2153628	400	cafe
Фортуна, кафе	Средний чек 600 р	Санкт-Петербург, Просвещения проспект, 37 к1	60.0531923	30.3324569	600	cafe
Хибины, кафе-бар	Средний чек 500 р	Санкт-Петербург, Заневский проспект, 40	59.9331807	30.4324591	500	cafe
Хванчкара, кафе	Средний чек 1000 р	Санкт-Петербург, Загородный проспект, 14	59.9266683	30.3441045	1000	cafe
Чистые Пруды, кафе	Средний чек 1200 р	Санкт-Петербург, Димитрова, 32а	59.8452847	30.3745346	1200	cafe
Чуланчик, кафе-бар	Средний чек 500 р	Санкт-Петербург, Спасский переулок, 7	59.9287255	30.3179747	500	cafe
Чуланчик, кафе-бар	Средний чек 500 р	Санкт-Петербург, Спасский переулок, 7	59.9287255	30.3179747	500	cafe
Шашлык Хауз, сеть кафе	Средний чек 800 р	Санкт-Петербург, Суворовский проспект, 1/8	59.9322465	30.368273	800	cafe
Шашлык Хауз, сеть кафе	Средний чек 800 р	Санкт-Петербург, Суворовский проспект, 1/8	59.9322465	30.368273	800	cafe
Шашлык Хауз, сеть кафе	Средний чек 800 р	Санкт-Петербург, Суворовский проспект, 1/8	59.9322465	30.368273	800	cafe
Шервуд, кафе-бар	Средний чек 700 р	Санкт-Петербург, Испытателей проспект, 31 к1	60.0077934	30.2676898	700	cafe
Шервуд, кафе-бар	Средний чек 700 р	Санкт-Петербург, Испытателей проспект, 31 к1	60.0077934	30.2676898	700	cafe
Шафран, кафе	Средний чек 450 р	Санкт-Петербург, Планерная, 49	60.0176353	30.2287049	450	cafe
Нканак, кафе-шашлычная	Средний чек 800 р	Санкт-Петербург, Набережная реки Смоленки, 29а	59.9487896	30.269024	800	cafe
Шашлычная №1, кафе	Средний чек 600 р	Санкт-Петербург, Энгельса проспект, 68	60.0181645	30.3213209	600	cafe
Шале, кафе	Средний чек 600 р	Санкт-Петербург, Лесной проспект, 9	59.96350215	30.3519736791451	600	cafe
Эля, кафе	Средний чек 450 р	Санкт-Петербург, Загребский бульвар, 33 к1	59.8456429	30.3993792	450	cafe
Душевная кухня, кафе	Средний чек 700 р	Санкт-Петербург, Шведский переулок, 2	59.9389773	30.3252902	700	cafe
BREAD & MEAT, кафе-бар	Средний чек 500 р	Санкт-Петербург, Большая Конюшенная, 1	59.9408843	30.3241915	500	cafe
Аллегро, ресторан	Средний чек 1000 р	Санкт-Петербург, Набережная канала Грибоедова, 55	59.9293844	30.3156462	1000	restaurant
Амроц, ресторан	Средний чек 1000 р	Санкт-Петербург, Невский проспект, 176	59.92595465	30.3817793026964	1000	restaurant
Амроц, ресторан	Средний чек 600 р	Санкт-Петербург, Передовиков, 27	59.9492986	30.4616058	600	restaurant
Аист, ресторан	Средний чек 450 р	Санкт-Петербург, Артиллерийская, 1	59.67782515	30.4453303593272	450	restaurant
Дом Актера, кафе-ресторан	Средний чек 500 р	Санкт-Петербург, Невский проспект, 86	59.9325657	30.3506657	500	restaurant
Астерия, ресторан	Средний чек 1200 р	Санкт-Петербург, Набережная реки Фонтанки, 71	59.9263378	30.3287919	1200	restaurant
Алые паруса, кафе-терраса	Средний чек 1500 р	Санкт-Петербург, Александровский парк, 3а	59.9544771	30.3191658	1500	restaurant
Ани, кафе-ресторан	Средний чек 600 р	Санкт-Петербург, Софийская, 39 к1	59.8730433	30.4028131	600	restaurant
Апрель Cafe, ресторан	Средний чек 1600 р	Санкт-Петербург, Савушкина, 126	59.9877585	30.2071511	1600	restaurant
Амарант, ресторан	Средний чек 1500 р	Санкт-Петербург, Набережная Обводного канала, 193	59.9130951	30.3333325	1500	restaurant
Америка, пивная	Средний чек 700 р	Санкт-Петербург, Индустриальный проспект, 9	59.9381232	30.4772108	700	restaurant
Али, ресторан	Средний чек 500 р	Санкт-Петербург, 14-я линия В.О., 75	59.94451705	30.2638224	500	restaurant
Ани, кафе-ресторан	Средний чек 600 р	Санкт-Петербург, Софийская, 39 к1	59.8730433	30.4028131	600	restaurant
Амадеус, ресторан	Средний чек 1000 р	Санкт-Петербург, Кирочная, 36	59.9439902	30.3643947	1000	restaurant
Атлантис, ресторан европейской и авторской кухни	Средний чек 1800 р	Санкт-Петербург, Петровская, 2	60.08864615	29.9667658363127	1800	restaurant
Априори, ресторан	Средний чек 1100 р	Санкт-Петербург, Обуховской Обороны проспект, 261	59.8651297	30.4701054	1100	restaurant
BullHouse, сеть ресторанов	Средний чек 1500 р	Санкт-Петербург, Кемская, 1	59.9727936	30.2592716995949	1500	restaurant
Кавказ, ресторан	Средний чек 1500 р	Санкт-Петербург, Стахановцев, 5	59.9282871	30.4064992	1500	restaurant
Балтия, гостиничный комплекс	Средний чек 700 р	Санкт-Петербург, Смолячкова, 5	59.9701794	30.3391982336348	700	restaurant
Baden Baden, ресторан европейской кухни	Средний чек 800 р	Санкт-Петербург, Просвещения проспект, 61а	60.0412391	30.3890388862885	800	restaurant
Беринг, ресторан	Средний чек 900 р	Санкт-Петербург, Пироговская набережная, 5/2	59.95694455	30.3413796342894	900	restaurant
Буль-Вар, ресторанный комплекс	Средний чек 1600 р	Санкт-Петербург, Маршала Казакова, 12 к2	59.85919865	30.2390008780414	1600	restaurant
ObedBufet, ресторан	Средний чек 400 р	Санкт-Петербург, Невский проспект, 114	59.9315884	30.3594008	400	restaurant
Бастион, ресторан	Средний чек 1000 р	Санкт-Петербург, Приморское шоссе, 494	60.114958	29.9684527	1000	restaurant
Птички и ягоды, ресторан	Средний чек 1500 р	Санкт-Петербург, Приморское шоссе, 572	60.1130214	29.9696799	1500	restaurant
Bali, ресторан	Средний чек 1200 р	Санкт-Петербург, Савушкина, 98	59.9877585	30.2071511	1200	restaurant
Браво-Лаудес, банкетный зал	Средний чек 1500 р	Санкт-Петербург, Разъезжая, 3	59.9256169	30.3432823	1500	restaurant
Buddha Bar, ресторан	Средний чек 3500 р	Санкт-Петербург, Синопская набережная, 78	59.9269678	30.3883805	3500	restaurant
Братья Карамазовы, ресторан	Средний чек 800 р	Санкт-Петербург, Социалистическая, 11а	59.9224781	30.3420643	800	restaurant
Burik-beer, пивоварня	Средний чек 1000 р	Санкт-Петербург, Загребский бульвар, 2 лит А	59.8456429	30.3993792	1000	restaurant
Таверна на Карпинского, пивоварня	Средний чек 800 р	Санкт-Петербург, Карпинского, 16а	60.0048294	30.4199184	800	restaurant
Багратион Холл, ресторан	Средний чек 1300 р	Санкт-Петербург, Ленинский проспект, 148	59.8523795	30.293774	1300	restaurant
